# -*- mode:csv -*-
# 
! iformacion sobre discos	df -h
! list files by size	ls -lhS
! list only directories	ls -d */
! list only files with find	find . -maxdepth 1 -type f
! list only files with ls	ls -l | grep -v '^d'
! list proceses	ps -e
! tamaño ocupado por actual directorio	du -sh
! borrar recursivamente archivos no directorios	find dir -type f -print0 | xargs -0 rm
! borrar recursivamente todo .txt	find . -type f -iname "*.txt" -print0 | xargs -0 rm
change promt	export PS1="\u:\w\$ "
chmod recursively	find -type f | awk ' { printf("%s\0", $0) } ' | xargs -0 chmod -w
copiar video youtube Flash	cp /proc/2222/fd/19 #ejemplo
ejecutar linea por linea un archivo	while read -r LINE; do "$LINE"; done < ARCHIVO
encontrar video youtube	lsof | grep Flash
for en archivos con espacios en blanco	IFS=$'\n'
get bash version	echo $BASH_VERSION
get partition structure of hard drive	lsblk
habilita "negative woldcards" como !(*.*) 	shopt -s extglob
make file inmutable (prevent deleting)	chattr +i FILE
print repeated files recursuvely	find -type f | awk -F/ ' { print $(NF) } ' | uniq -d
rsync push current dir	rsync -avz .  /dir/subdir1/subdirN/dest
separate by comma 1(awk)	awk -F, 
separate by comma 2(cut)	cut -d,
sort by names length 	ls | perl -e 'print sort { length() <=> length() } <>'
win's crlf to unix	tr -d '\015' <DOS-file >UNIX-file
